zone,description,raw
1,TOWER 2 BASEMENT 5,Z 1 Z 1
2,TOWER 3 BASEMENT 5 ,Z 1 Z 1
3,TOWER 2 BASEMENT 4,Z 1 Z 1
4,TOWER 3 BASEMENT 4,Z 1 Z 1
5,TOWER 4 BASEMENT 4,Z 1 Z 1
6,PUBLIC LOBBY BASEMENT 4,Z 1 Z 1
7,TOWER 1 BASEMENT 3,Z 1 Z 1
8,TOWER 2 BASEMENT 3,Z 1 Z 1
9,TOWER 3 BASEMENT 3,Z 1 Z 1
10,TOWER 4 BASEMENT,Z 1 Z 1
11,PUBLIC LOBBY BASEMENT 3,Z 1 Z 1
12,TOWER 1 BASEMENT 2,Z 1 Z 1
13,TOWER 2 BASEMENT 2,Z 1 Z 1
14,TOWER 3 BASEMENT 2,Z 1 Z 1
15,TOWER 4 BASEMENT 2,Z 1 Z 1
16,PUBLIC LOBBY BASEMENT 2,Z 1 Z 1
17,TOWER 1 BASEMENT 1,Z 1 Z 1
18,TOWER 2 BASEMENT 1,Z 1 Z 1
19,TOWER 3 BASEMENT 1,Z 1 Z 1
20,TOWER 4 BASEMENT 1,Z 1 Z 1
21,PUBLIC LOBBY BAS,Z 1 Z 1
22,TOWER 1 LEVEL 00 ,Z 1 Z 1
23,TOWER 1 LEVEL 00,Z 1 Z 1
24,TOWER 1 LEVEL 00 MCR/DC2,Z 1 Z 1
25,TOWER 1 LEVEL 00 MCCR1,Z 1 Z 1
26,TOWER 2 LEVEL 00,Z 1 Z 1
27,TOWER 2 LEVEL 00,Z 1 Z 1
28,TOWER 3 LEVEL 00,Z 1 Z 1
29,IT2/IT3 LEVEL 00 MAIN CARRIER,Z 1 Z 1
30,TOWER 4 LEVEL 00,Z 1 Z 1
31,TOWER 4 LEVEL 00,Z 1 Z 1
32,LOADING DOCK LEVEL 00,Z 1 Z 1
33,CEP SUBSTATION 1 HV ROOM MSB,Z 1 Z 1
34,TOWER 1 LEVEL 01 ,Z 1 Z 1
35,TOWER 1 LEVEL 01 ,Z 1 Z 1
36,TOWER 2 LEVEL 01,Z 1 Z 1
37,TOWER 2 LEVEL 01,Z 1 Z 1
38,TOWER 3 LEVEL 01,Z 1 Z 1
39,TOWER 3 LEVEL 01,Z 1 Z 1
40,TOWER 4 LEVEL 01,Z 1 Z 1
41,TOWER 4 LEVEL 01,Z 1 Z 1
42,TOWER 1 LEVEL 02,Z 1 Z 1
43,TOWER 1 LEVEL 02,Z 1 Z 1
44,TOWER 2 LEVEL 02,Z 1 Z 1
45,TOWER 3 LEVEL 02,Z 1 Z 1
46,TOWER 3 LEVEL 02,Z 1 Z 1
47,ATRIUM LOBBY LEVEL 02,Z 1 Z 1
48,TOWER 4 LEVEL 02,Z 1 Z 1
49,TOWER 4 LEVEL 02,Z 1 Z 1
50,TOWER 1 LEVEL 03,Z 1 Z 1
51,TOWER 1/4 LEVEL 03 LUX BOX,Z 1 Z 1
52,TOWER 3 LEVEL 03,Z 1 Z 1
53,TOWER 4 LEVEL 03,Z 1 Z 1
54,TOWER 1/4 LEVEL 03 RETAIL,Z 1 Z 1
55,TOWER 1 LEVEL 04,Z 1 Z 1
56,TOWER 2 LEVEL 04,Z 1 Z 1
57,TOWER 2 LEVEL 04,Z 1 Z 1
58,TOWER 3 LEVEL 04,Z 1 Z 1
59,TOWER 3 LEVEL 04,Z 1 Z 1
60,TOWER 4 LEVEL 04,Z 1 Z 1
61,TOWER 4 LEVEL 04,Z 1 Z 1
62,TOWER 4 LEVEL 4 RETAIL,Z 1 Z 1
63,TOWER 1/4 LEVEL 03 LUX BOX,Z 1 Z 1
64,TOWER 1 LEVEL 04M,Z 1 Z 1
65,TOWER 2 LEVEL 04M,Z 1 Z 1
66,TOWER 3 LEVEL 04M,Z 1 Z 1
67,TOWER 4 LEVEL 04M,Z 1 Z 1
68,TOWER 4 LEVEL 04M,Z 1 Z 1
69,TOWER 4 LEVEL 4M RETAIL,Z 1 Z 1
70,TOWER 1 LEVEL 05,Z 1 Z 1
71,TOWER 1 LEVEL 05,Z 1 Z 1
72,TOWER 1 LEVEL 05,Z 1 Z 1
73,TOWER 1 LEVEL 05,Z 1 Z 1
74,TOWER 2 LEVEL 05,Z 1 Z 1
75,TOWER 2 LEVEL 05,Z 1 Z 1
76,TOWER 2 LEVEL 05,Z 1 Z 1
77,TOWER 2/3 LEVEL 05,Z 1 Z 1
78,TOWER 3 LEVEL 05,Z 1 Z 1
79,TOWER 3 LEVEL 05,Z 1 Z 1
80,TOWER 3 LEVEL 05,Z 1 Z 1
81,TOWER 4 LEVEL 05,Z 1 Z 1
82,TOWER 4 LEVEL 05,Z 1 Z 1
83,TOWER 4 LEVEL 05,Z 1 Z 1
84,TOWER 4 LEVEL 05,Z 1 Z 1
85,TOWER 1 LEVEL 05M,Z 1 Z 1
86,TOWER 2 LEVEL 05M,Z 1 Z 1
87,SPARE,Z 1 Z 1
88,TOWER 2 LEVEL 05M,Z 1 Z 1
89,TOWER 2 LEVEL 05M,Z 1 Z 1
90,TOWER 3 LEVEL 05M,Z 1 Z 1
91,TOWER 3 LEVEL 05M,Z 1 Z 1
92,TOWER 3/4 LEVEL 05M,Z 1 Z 1
93,TOWER 4 LEVEL 05M,Z 1 Z 1
94,TOWER 4 LEVEL 05M,Z 1 Z 1
95,TOWER 4 LEVEL 05M,Z 1 Z 1
96,TOWER 1 LEVEL 06,Z 1 Z 1
97,TOWER 1 LEVEL 06 PRE FUNCTION,Z 1 Z 1
98,TOWER 1 LEVEL 06 PRE FUNCTION,Z 1 Z 1
99,TOWER 2 LEVEL 06 MAIN GAMING,Z 1 Z 1
100,TOWER 2 LEVEL 06 PLANTROOM,Z 1 Z 1
101,TOWER 2 LEVEL 06 ,Z 1 Z 1
102,TOWER 2 LEVEL 06 MAIN GAMING,Z 1 Z 1
103,TOWER 2/3 LEVEL 06 AMEN/ KITCHEN,Z 1 Z 1
104,TOWER 3 LEVEL 06 MAIN GAMING,Z 1 Z 1
105,TOWER 3 LEVEL 06 ,Z 1 Z 1
106,TOWER 3 LEVEL 06 PLANTROOM,Z 1 Z 1
107,TOWER 3 LEVEL 06 MAIN GAMING,Z 1 Z 1
108,TOWER 3/4 LEVEL 06 CORRIDOR,Z 1 Z 1
109,TOWER 4 LEVEL 06,Z 1 Z 1
110,TOWER 4 LEVEL 06,Z 1 Z 1
111,TOWER 4 LEVEL 06 BALLROOM,Z 1 Z 1
112,TOWER 1 LEVEL 06M,Z 1 Z 1
113,ATRIUM LEVEL 06M,Z 1 Z 1
114,TOWER 4 LEVEL 06M,Z 1 Z 1
115,TOWER 4 LEVEL 06M,Z 1 Z 1
116,TOWER 1 LEVEL 07 NORTH,Z 1 Z 1
117,TOWER 1 LEVEL 07 SOUTH,Z 1 Z 1
118,TOWER 2 LEVEL 07,Z 1 Z 1
119,TOWER 3 LEVEL 07,Z 1 Z 1
120,TOWER 4 LEVEL 07,Z 1 Z 1
121,TOWER 1/4 ATRIUM LEVEL 07,Z 1 Z 1
122,TOWER 1 LEVEL 07M NORTH,Z 1 Z 1
123,TOWER 1 LEVEL 07M SOUTH,Z 1 Z 1
124,TOWER 2 LEVEL 07M,Z 1 Z 1
125,TOWER 3 LEVEL 07M,Z 1 Z 1
126,TOWER 4 LEVEL 07M,Z 1 Z 1
127,,Z 1 Z 1
128,,Z 1 Z 1
129,Unassigned Text,Z 1 Z 1
130,TOWER 1 LEVEL 08 NORTH,Z 1 Z 1
